trade_id,trade_date,trade_time,isin,instrument_name,buy_sell,quantity,price,currency,trading_venue,buyer_lei,seller_lei,executing_firm_lei,capacity,short_selling_ind
TRD-001,2024-03-15,09:31:00Z,GB00B24CGK77,Barclays PLC Ord,BUYI,5000,189.5,GBP,XLON,213800MBWEIJDM5CU638,XXXXXXXXXXXXXXXXXX01,529900T8BM49AURSDO55,DEAL,UNDI
TRD-002,2024-03-15,09:45:22Z,DE0005140008,Deutsche Bank AG,SELL,2000,11.32,EUR,XETR,529900T8BM49AURSDO55,213800MBWEIJDM5CU638,529900T8BM49AURSDO55,DEAL,UNDI
TRD-003,2024-03-15,10:02:45Z,FR0000131104,BNP Paribas SA,BUYI,1500,54.8,EUR,XPAR,XXXXXXXXXXXXXXXXXXX3,529900T8BM49AURSDO55,969500CHL179V5D8JN92,AOTC,SESH
TRD-004,2024-03-15,10:15:30Z,US4592001014,IBM Corp,SELL,750,184.25,USD,XNYS,XXXXXXXXXXXXXXXXXX04,XXXXXXXXXXXXXXXXXX14,XXXXXXXXXXXXXXXXXX24,MTCH,UNDI
TRD-005,2024-03-15,10:30:00Z,IE00B4BNMY34,iShares MSCI World ETF,BUYI,300,82.6,EUR,XEUR,XXXXXXXXXXXXXXXXXXX5,XXXXXXXXXXXXXXXXXX15,XXXXXXXXXXXXXXXXXX25,DEAL,UNDI
TRD-006,2024-03-15,11:05:17Z,GB0002634946,HSBC Holdings PLC,BUYI,10000,626.9,GBP,XLON,XXXXXXXXXXXXXXXXXXX6,XXXXXXXXXXXXXXXXXX16,529900T8BM49AURSDO55,DEAL,UNDI
TRD-007,2024-03-15,11:22:44Z,NL0011794037,ASML Holding NV,SELL,100,878.5,EUR,XAMS,XXXXXXXXXXXXXXXXXXX7,XXXXXXXXXXXXXXXXXX17,XXXXXXXXXXXXXXXXXXX7,DEAL,UNDI
TRD-008,2024-03-15,11:45:00Z,CH0012221716,ABB Ltd,BUYI,800,38.22,CHF,XSWX,XXXXXXXXXXXXXXXXXXX8,XXXXXXXXXXXXXXXXXX18,XXXXXXXXXXXXXXXXXXX8,DEAL,UNDI
TRD-009,2024-03-15,12:00:00Z,,Unknown Instrument,BUYI,500,10.0,EUR,XLON,XXXXXXXXXXXXXXXXXXX9,XXXXXXXXXXXXXXXXXX19,XXXXXXXXXXXXXXXXXXX9,DEAL,UNDI
TRD-010,2024-03-15,12:15:00Z,GB00B24CGK77,Barclays PLC Ord,SELL,-100,189.5,GBP,XLON,XXXXXXXXXXXXXXXXXX10,XXXXXXXXXXXXXXXXXX20,XXXXXXXXXXXXXXXXXX30,DEAL,UNDI
TRD-011,2024-03-15,12:30:00Z,DE0005140008,Deutsche Bank AG,SWAP,1000,11.0,EUR,XETR,XXXXXXXXXXXXXXXXXX11,XXXXXXXXXXXXXXXXXX21,XXXXXXXXXXXXXXXXXX31,DEAL,UNDI
TRD-012,2024-03-15,12:45:00Z,FR0000131104,BNP Paribas SA,BUYI,200,0.0,EUR,XPAR,XXXXXXXXXXXXXXXXXX12,XXXXXXXXXXXXXXXXXX22,XXXXXXXXXXXXXXXXXX32,DEAL,UNDI
TRD-013,2024-03-15,13:00:00Z,US4592001014,IBM Corp,SELL,50,184.25,,XNYS,XXXXXXXXXXXXXXXXXX13,XXXXXXXXXXXXXXXXXX23,XXXXXXXXXXXXXXXXXX33,DEAL,UNDI
TRD-014,2024-03-15,13:15:00Z,NL0011794037,ASML Holding NV,BUYI,25,878.0,EUR,ASML,XXXXXXXXXXXXXXXXXX14,XXXXXXXXXXXXXXXXXX24,XXXXXXXXXXXXXXXXXX34,DEAL,UNDI
TRD-015,2024-03-15,13:30:00Z,GB0002634946,HSBC Holdings PLC,SELL,3000,627.0,GBP,XLON,,XXXXXXXXXXXXXXXXXX25,XXXXXXXXXXXXXXXXXX35,DEAL,UNDI
